TAG,DESCRIÇÃO,ENTRADA,SAÍDA,SEVERIDADE,ALARME,Invertido,,,
I723LL2406,NÍVEL TANQUE ÓLEO LUBRIF AQUEC REGEN,BAIXO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723LLL2407,NÍVEL TANQUE ÓLEO LUBRIF AQUEC REGEN,MUITO BAIXO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723MFT1001,PRECIPITADOR ELETROSTÁTICO,FALHA,NORMALIZADO,BAIXO,NÃO,NÃO,,,
I723PHH3201,PRESSÃO FORNALHA,MUITO ALTO,NORMALIZADO,ALTA,SIM,SIM,,,
I723PL2401,PRES DESC BBAS ÓLEO LUBRIF AQUEC REGEN,BAIXO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723PL3501,PRES ÓLEO LUBRIF VENT INDUZIDO 1,BAIXO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723PL3511,PRES ÓLEO LUBRIF VENT INDUZIDO 2,BAIXO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723PLL3202,PRESSÃO FORNALHA,MUITO BAIXO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723PLL3502,PRESSÃO ÓLEO LUBRIF VENT INDUZIDO 1,MUITO BAIXO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723PLL3512,PRESSÃO ÓLEO LUBRIF VENT INDUZIDO 2,MUITO BAIXO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723TH2429,AQUECEDOR DE AR A23MPA2001-EQUIPAMENTO DETETOR DE CALOR,,,,,,,,
I723TH2459,AQUECEDOR DE AR A23PA2002 EQUIPAMENTO DETETOR DE CALOR,,,,,,,,
I723TH3005,TEMP MANCAIS VENT FORÇADO 1,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723TH3009,TEMP MANCAIS MOTOR VENT FORÇADO 1,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723TH3014,TEMP ENROL MOTOR VENT FORÇADO 1,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723TH3025,TEMP MANCAIS VENT FORÇADO 2,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723TH3029,TEMP MANCAIS MOTOR VENT FORÇADO 2,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723TH3034,TEMP ENROL MOTOR VENT FORÇADO 2,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723TH3201,TEMP FORNALHA LE (TERMO SONDA),,,,,,,,
I723TH3202,TEMP FORNALHA LD (TERMO SONDA),ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723TH3269,TEMP GÁSES ENTRADA PRECIP 1 LE,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723TH3279,TEMP GÁSES ENTRADA PRECIP 1 LD,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723TH3294,TEMP GÁSES ENTRADA PRECIP 2 LE,MUITO ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723TH3295,TEMP GASES ENTRADA PRECIP 2 LE,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723TH3297,TEMP GÁSES ENTRADA PRECIP 2 LD,MUITO ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723TH3300,TEMP GASES ENTRADA PRECIP 2 LD,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723TH3401,TEMP MANCAIS AQUEC REGENERATIVO 1,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723TH3431,TEMP MANCAIS AQUEC REGENERATIVO 2,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723TH3501,TEMP MANCAIS VENT INDUZIDO 1,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723TH3505,TEMP MANCAIS MOTOR VENT INDUZIDO 1,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723TH3511,TEMP ENROL MOTOR VENT INDUZIDO 1,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723TH3521,TEMP MANCAIS VENT INDUZIDO 2,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723TH3525,TEMP MANCAIS MOTOR VENT INDUZIDO 2,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723TH3531,TEMP ENROL MOTOR VENT INDUZIDO 2,ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723THH2465,TEMP ÓLEO LUB AQUEC REGENERATIVOS,MUITO ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723THH3006,TEMP MANCAL LNA VENT FORÇADO 1,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723THH3008,TEMP MANCAL LA VENT FORÇADO 1,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723THH3010,TEMP MANCAL LA MOTOR VENT FORÇADO 1,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723THH3012,TEMP MANCAL LNA MOTOR VENT FORÇADO 1,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723THH3026,TEMP MANCAL LNA VENT FORÇADO 2,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723THH3028,TEMP MANCAL LA VENT FORÇADO 2,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723THH3030,TEMP MANCAL LA MOTOR VENT FORÇADO 2,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723THH3032,TEMP MANCAL LNA MOTOR VENT FORÇADO 2,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723THH3268,TEMP GASES ENTRADA PRECIPITADOR 1 LE,MUITO ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723THH3271,TEMP GASES ENTRADA PRECIPITADOR 1 LD,MUITO ALTO,NORMALIZADO,MEDIA,SIM,NÃO,,,
I723THH3402,TEMP MANCAL INF AQUEC REGENERATIVO 1,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723THH3405,TEMP MANCAL SUP AQUEC REGENERATIVO 1,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723THH3432,TEMP MANCAL INF AQUEC REGENERATIVO 2,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723THH3435,TEMP MANCAL SUP AQUEC REGENERATIVO 2,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723THH3502,TEMP MANCAL LA VENT INDUZIDO 1,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
I723THH3504,TEMP MANCAL LNA VENT INDUZIDO 1,MUITO ALTO,NORMALIZADO,ALTA,SIM,NÃO,,,
