TAG,DESCRICAO,Min,Max,UNIDADE,LL,L,H,HH
I724TE1004,TEMP MANCAL INT VENTILADOR AR PRIMÁRIO 1,0,150,°C,,,80,90
I724TE1006,TEMP MANCAL LA MOTOR AR PRIMÁRIO 1,0,150,°C,,,80,90
I724TE1008,TEMP MANCAL LNA MOTOR AR PRIMÁRIO 1,0,150,°C,,,80,90
I724TE1012,TEMP ENROLAMENTO MOTOR AR PRIMÁRIO 1,0,200,°C,,,110,
I724TE1032,TEMP MANCAL LA VENTILADOR AR PRIMÁRIO 2,0,150,°C,,,80,90
I724TE1034,TEMP MANCAL INT VENTILADOR AR PRIMÁRIO 2,0,150,°C,,,80,90
I724TE1036,TEMP MANCAL LA MOTOR AR PRIMÁRIO 2,0,150,°C,,,80,90
I724TE1038,TEMP MANCAL LNA MOTOR AR PRIMÁRIO 2,0,150,°C,,,80,90
I724TE1042,TEMP ENROLAMENTO MOTOR AR PRIMÁRIO 2,0,200,°C,,,110,
I724TE1123,TEMP ENROLAMENTO MOTOR MOINHO 1,0,200,°C,,,110,
I724TE1126,TEMP MANCAL LNA MOTOR MOINHO 1,0,150,°C,,,80,90
I724TE1128,TEMP MANCAL LA MOTOR MOINHO 1,0,150,°C,,,80,90
I724TE1223,TEMP ENROLAMENTO MOTOR MOINHO 2,0,200,°C,,,110,
I724TE1226,TEMP MANCAL LNA MOTOR MOINHO 2,0,150,°C,,,80,90
I724TE1228,TEMP MANCAL LA MOTOR MOINHO 2,0,150,°C,,,80,90
I724TE1323,TEMP ENROLAMENTO MOTOR MOINHO 3,0,200,°C,,,110,
I724TE1326,TEMP MANCAL LNA MOTOR MOINHO 3,0,150,°C,,,80,90
I724TE1328,TEMP MANCAL LA MOTOR MOINHO 3,0,150,°C,,,80,90
I724TE1423,TEMP ENROLAMENTO MOTOR MOINHO 4,0,200,°C,,,110,
I724TE1426,TEMP MANCAL LNA MOTOR MOINHO 4,0,150,°C,,,80,90
I724TE1428,TEMP MANCAL LA MOTOR MOINHO 4,0,150,°C,,,80,90
I724TE3101,TEMP MANCAL ROLO 1 MOINHO 1,0,150,°C,,,110,
I724TE3102,TEMP MANCAL ROLO 2 MOINHO 1,0,150,°C,,,110,
I724TE3103,TEMP MANCAL ROLO 3 MOINHO 1,0,150,°C,,,100,
I724TE3114,TEMP ÓLEO MANCAL MICHEL MOINHO 1,0,150,°C,,,60,70
I724TE3201,TEMP MANCAL ROLO 1 MOINHO 2,0,150,°C,,,110,
I724TE3202,TEMP MANCAL ROLO 2 MOINHO 2,0,150,°C,,,110,
I724TE3203,TEMP MANCAL ROLO 3 MOINHO 2,0,150,°C,,,100,
I724TE3214,TEMP ÓLEO MANCAL MICHEL MOINHO 2,0,150,°C,,,60,70
I724TE3301,TEMP MANCAL ROLO 1 MOINHO 3,0,150,°C,,,110,
I724TE3302,TEMP MANCAL ROLO 2 MOINHO 3,0,150,°C,,,110,
I724TE3303,TEMP MANCAL ROLO 3 MOINHO 3,0,150,°C,,,100,
I724TE3314,TEMP ÓLEO MANCAL MICHEL MOINHO 3,0,150,°C,,,60,70
I724TE3401,TEMP MANCAL ROLO 1 MOINHO 4,0,150,°C,,,110,
I724TE3402,TEMP MANCAL ROLO 2 MOINHO 4,0,150,°C,,,110,
I724TE3403,TEMP MANCAL ROLO 3 MOINHO 4,0,150,°C,,,100,
I724TE3414,TEMP ÓLEO MANCAL MICHEL MOINHO 4,0,150,°C,,,60,70
I724TT3062,TEMPERATURA AR PRIMÁRIO ENTRADA MOINHO 1,50,500,°C,,,,
I724TT3072,TEMPERATURA AR PRIMÁRIO ENTRADA MOINHO 2,50,500,°C,,,,
I724TT3082,TEMPERATURA AR PRIMÁRIO ENTRADA MOINHO 3,50,500,°C,,,,
I724TT3092,TEMPERATURA AR PRIMÁRIO ENTRADA MOINHO 4,50,500,°C,,,,
I724TY3020,TEMP AR PRIMÁRIO SAÍDA AQUECEDOR REGENERATIVO 1,50,500,°C,,,,
